Distributor,Order Number,Date,Distributor Part Number,Manufacturer Part Number,Manufacturer,Description,Category/Package,Quantity,Unit Price($),Total Price($),Keywords (Search Tags)
DigiKey,89392167,,1276-1181-1-ND,CL31A106MAHNNNE,Samsung Electro-Mechanics,CAP CER 10UF 25V X5R 1206,Capacitors,50,,,"106MA, 10UF, 25V, 31A, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,89392167,,CKN12319-1-ND,PTS636 SM50J SMTR LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,Switches,25,,,"0.05A, 12V, Button, Input, SMD, Switch, Tactile"
DigiKey,89116390,,1510-1519-1-ND,SPMWHT541MP5WAR0S5,"Samsung Semiconductor, Inc.",LED LM561B PLUS WHITE 5000K 5630,Optoelectronics,100,,,"5W, Indicator, Light, Optoelectronics"
LCSC,WM2512040273,2026-07-10,C49234238,CPG151101D01,HanElectricity,Black switch 12V 60gf Through Hole Pushbutton Switches RoHS,Through Hole,50,0.0809,4.05,"12V, Button, Input, Switch, THT, Tactile"
LCSC,WM2512040273,2026-07-10,C46597863,CH572D,WCH,QFN-20-EP(3x3) Microcontrollers RoHS,QFN-20-EP(3x3),50,0.2872,14.36,"Brain, Compute, MCU, Microcontroller, Processor"
LCSC,WM2512040273,2026-07-10,C2965582,XL7EL89CKI-111YLC-32M,YXC Crystal Oscillators,Crystal 32MHz ±10ppm 8pF SMD2016-4P,SMD2016-4P,100,0.0515,5.15,"32MH, 32MHZ, 8PF, Clock, Oscillator, Resonator, SMD, Timing"
LCSC,WM2512040273,2026-07-10,C725791,TP4057,UMW,4V~6.5V Lithium Battery 1 500mA SOT-23-6 Battery Chargers ICs RoHS,SOT-23-6,100,0.0305,3.05,"4V, 500MA, 6.5V, Battery Management, Charging, Energy, Power, THT"
LCSC,WM2512040273,2026-07-10,C114668,RC0603FR-071K5L,YAGEO,100mW 1.5kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,200,0.0012,0.24,"0603F, 1.5KΩ, 75V, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2512040273,2026-07-10,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,10uF ±10% 10V Ceramic Capacitor X5R 0603,0603,300,0.0058,1.74,"10A, 10UF, 10V, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C100001,RC0603FR-0730KL,YAGEO,100mW 30kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,100,0.0012,0.12,"0603F, 30KΩ, 75V, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2512040273,2026-07-10,C12891,CL31A226KAHNNNE,Samsung Electro-Mechanics,22uF ±10% 25V Ceramic Capacitor X5R 1206,1206,20,0.0412,0.82,"22UF, 25V, 31A, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C15127,AO3401A,AOS,30V 4A Surface Mount SOT-23,SOT-23,50,0.0573,2.87,"23A, 30V, 3401A, 4A, SMD"
LCSC,WM2512040273,2026-07-10,C20917,AO3400A,AOS,N-Channel 30V Surface Mount SOT-23-3L,SOT-23,50,0.058,2.90,"23A, 30V, 3400A, FET, SMD, Switch, Transistor"
LCSC,WM2512040273,2026-07-10,C14675,RC0603FR-07100KL,YAGEO,100mW 100kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,100,0.001,0.10,"0603F, 100KΩ, 75V, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2512040273,2026-07-10,C105578,RC0603FR-071ML,YAGEO,100mW 1MΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,100,0.0012,0.12,"0603F, 1MΩ, 75V, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2512040273,2026-07-10,C105526,CL10B474KO8NNNC,Samsung Electro-Mechanics,470nF ±10% 16V Ceramic Capacitor X7R 0603,0603,100,0.0063,0.63,"16V, 470NF, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C14663,CC0603KRX7R9BB104,YAGEO,100nF ±10% 50V Ceramic Capacitor X7R 0603,0603,100,0.0025,0.25,"100NF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C42442063,CH592X,WCH,RISC-V4C 32 Bit 32kHz 24 QFN-32-EP(4x4) Microcontrollers RoHS,QFN-32-EP(4x4),10,0.6979,6.98,"32KHZ, Brain, Compute, MCU, Microcontroller, Processor"
LCSC,WM2512040273,2026-07-10,C23630,CL10A225KO8NNNC,Samsung Electro-Mechanics,2.2uF ±10% 16V Ceramic Capacitor X5R 0603,0603,100,0.0056,0.56,"10A, 16V, 2.2UF, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C194437,MLZ1608N100LT000,TDK,300mA 10uH ±20% 60mA 600mΩ Multilayer inductor 0603 Fixed Inductors RoHS,0603,20,0.0393,0.79,"0603F, 10UH, 300MA, 600MΩ, 60MA, Choke, Coil, Inductor, Magnetic, Passive"
LCSC,WM2512040273,2026-07-10,C2845569,HC-ZH1.5-6AW,HCTL,Connector Header 6 position 1.5mm Pitch 1A Right Angle -25℃~+85℃,"Through Hole,Right Angle,P=1.5mm",20,0.0657,1.31,"1A, 6A, Connector, Interconnect, Plug, Receptacle, THT"
LCSC,WM2512040273,2026-07-10,C293767,ANT3216LL00R2400A,YAGEO,RF ANTENNA Chip Surface Mount 1206,1206,15,0.1004,1.51,"1206A, 2400A, Antenna, RF, Radio, SMD, Wireless"
LCSC,WM2512040273,2026-07-10,C1639,0603CG1R5C500NT,FH,1.5pF 50V Ceramic Capacitor C0G 0603,0603,100,0.0031,0.31,"1.5PF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C1633,0603CG0R5C500NT,FH,0.5pF 50V Ceramic Capacitor C0G 0603,0603,100,0.003,0.30,"0.5PF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2512040273,2026-07-10,C412029,SCC1608C3N9SSP,Sunltech,500mA 3.9nH 200mΩ Multilayer inductor 0603 Fixed Inductors RoHS,0603,50,0.0134,0.67,"0603F, 200MΩ, 3.9NH, 500MA, Choke, Coil, Inductor, Magnetic, Passive"
LCSC,WM2512040273,2026-07-10,C32346,Q13FC13500004,EPSON,Crystal 32.768kHz ±20ppm 12.5pF 70kΩ SMD3215-2P,SMD3215-2P,15,0.169,2.54,"12.5PF, 13F, 32.768KHZ, 70KΩ, Clock, Oscillator, Resonator, SMD, Timing"
LCSC,WM2512040273,2026-07-10,C8465,WJ500V-5.08-2P,KANGNEX,2 Position Wire to Board Terminal Block Through Hole 5.08mm,"Through Hole,P=5.08mm",10,0.1102,1.10,"500V, THT"
LCSC,WM2601310029,2026-07-10,C7437027,CH32X035G8U6,WCH,RISC-V4C 32 Bit 48MHz 27 QFN-28(4X4) Microcontrollers RoHS,QFN-28(4X4),10,0.4269,4.27,"48MH, 48MHZ, Brain, Compute, MCU, Microcontroller, Processor"
LCSC,WM2601310029,2026-07-10,C393941,TF PUSH,SHOU HAN,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,SMD,20,0.0597,1.19,"Connector, Interconnect, Plug, Receptacle, SMD"
LCSC,WM2601310029,2026-07-10,C7462749,CH217K,WCH,Load Switch 1 Channel 2.7A SOT-23-6,SOT-23-6,25,0.1055,2.64,"2.7A, Button, Input, Switch, Tactile"
LCSC,WM2601310029,2026-07-10,C30167296,78L33,UMW,Linear Voltage Regulator IC Positive Fixed 1 Output 150mA SOT-89,SOT-89,100,0.0316,3.16,"150MA, LDO, Power, Power Supply, Voltage Regulator"
LCSC,WM2601310029,2026-07-10,C3025155,78L05,GOODWORK,Linear Voltage Regulator IC Positive Fixed 1 Output 100mA SOT-89,SOT-89,100,0.0296,2.96,"100MA, LDO, Power, Power Supply, Voltage Regulator"
LCSC,WM2601310029,2026-07-10,C282682,TCC0603X7R334K500CT,CCTC,330nF ±10% 50V Ceramic Capacitor X7R 0603,0603,100,0.006,0.60,"330NF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
LCSC,WM2601310029,2026-07-10,C2906280,MST22D18G2 125,SHOU HAN,Slide Switch DPDT 100mA @ 12V Surface Mount,SMD,30,0.0651,1.95,"100MA, 12V, Button, Input, SMD, Switch, Tactile"
LCSC,WM2601310029,2026-07-10,C19171390,YLED0603R,YONGYUTAI,Red LED Indication - Discrete 1.8V~2.4V 0603,0603,200,0.0058,1.16,"1.8V, 2.4V, Indicator, Light, Optoelectronics"
LCSC,WM2606280078,2026-07-10,C53145393,CH32M030K9U7,WCH,RISC-V 32 Bit 72MHz 26 QFN-32(4x4) Microcontrollers RoHS,QFN-32(4x4),20,0.4537,9.07,"72MH, 72MHZ, Brain, Compute, MCU, Microcontroller, Processor"
LCSC,WM2606280078,2026-07-10,C18192312,AOD4184A-JSM,JSMSEMI,40V 60A 60W Surface Mount TO-252,TO-252,50,0.2028,10.14,"252A, 40V, 4184A, 60A, 60W, SMD"
LCSC,WM2606280078,2026-07-10,C83528,1N4148W-7-F,DIODES,Diode Independent 100V 300mA Surface Mount SOD-123,SOD-123,200,0.0189,3.78,"100V, 300MA, 4148W, Diode, Rectifier, SMD, Semiconductor"
LCSC,WM2606280078,2026-07-10,C2906291,3JWD-DBHD-13.5 125,SHOU HAN,Switch SPDT Through Hole,"Through Hole,12.8x5.7mm",50,0.0683,3.42,"Button, Input, Switch, THT, Tactile"
LCSC,WM2606280078,2026-07-10,C72518,RVT1E471M1010,ROQANG,470uF ±20% 25V Aluminum Electrolytic Capacitors 2000hrs@105℃,"SMD,D10xL10.2mm",50,0.0937,4.69,"2000H, 25V, 470UF, Capacitor, Decoupling, Energy Storage, Passive, SMD"
LCSC,WM2606280078,2026-07-10,C2903482,HoJLR2512-3W-5mR-1%,Milliohm,5mΩ 3W Current Sense Resistor ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,20,0.1006,2.01,"2512H, 3W, 5MΩ, Impedance, Passive, Resistor, SMD"
LCSC,WM2606280078,2026-07-10,C22452,SS54,MDD(Microdiode Semiconductor),Diode Independent 40V 5A Surface Mount SMA(DO-214AC),SMA(DO-214AC),50,0.0366,1.83,"214A, 40V, 5A, Diode, Rectifier, SMD, Semiconductor"
LCSC,WM2606280078,2026-07-10,C2682775,X32258MOB4SI,YXC Crystal Oscillators,Crystal 8MHz ±10ppm 12pF 150Ω SMD3225-4P,SMD3225-4P,15,0.1883,2.82,"12PF, 150Ω, 8MH, 8MHZ, Clock, Oscillator, Resonator, SMD, Timing"
LCSC,WM2606280078,2026-07-10,C695629,DB301V-3.5-2P-GN-S,DORABO,2 Position Wire to Board Terminal Block Through Hole 3.5mm,"Through Hole,P=3.5mm",50,0.0779,3.90,"301V, THT"
LCSC,WM2606280078,2026-07-10,C7420030,FRM252WJR500TK,FOJAN,2W 500mΩ SMD ±50ppm/℃ Current Sense Resistor ±5% 2512 Current Sense Resistors RoHS,2512,20,0.0462,0.92,"2512F, 252W, 2W, 500MΩ, Impedance, Passive, Resistor, SMD"
LCSC,WM2606280078,2026-07-10,C7467250,FRM121WFR100TM,FOJAN,1W 100mΩ SMD ±50ppm/℃ Current Sense Resistor ±1% 1206 Current Sense Resistors RoHS,1206,20,0.043,0.86,"100MΩ, 1206F, 121W, 1W, Impedance, Passive, Resistor, SMD"
LCSC,WM2606280078,2026-07-10,C7420015,FPM253WJR050TM,FOJAN,3W 50mΩ SMD ±50ppm/℃ Current Sense Resistor ±5% 2512 Current Sense Resistors RoHS,2512,20,0.0464,0.93,"2512F, 253W, 3W, 50MΩ, Impedance, Passive, Resistor, SMD"
LCSC,WM2606280078,2026-07-10,C7420010,FRM121WFR020TM,FOJAN,1W 20mΩ SMD ±50ppm/℃ Current Sense Resistor ±1% 1206 Current Sense Resistors RoHS,1206,20,0.0425,0.85,"1206F, 121W, 1W, 20MΩ, Impedance, Passive, Resistor, SMD"
LCSC,WM2606280078,2026-07-10,C47018524,SS34,baocheng,Diode Independent 40V 3A Surface Mount SMA,SMA,200,0.0205,4.10,"3A, 40V, Diode, Rectifier, SMD, Semiconductor"
LCSC,WM2606280078,2026-07-10,C2837270,SS14,JSMSEMI,Diode 40V 1A Surface Mount SMA(DO-214AC),SMA(DO-214AC),200,0.011,2.20,"1A, 214A, 40V, Diode, Rectifier, SMD, Semiconductor"
LCSC,WM2606280078,2026-07-10,C115420,RS-03K1000FT,FH,100mW 100Ω 50V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,100,0.0036,0.36,"1000F, 100Ω, 50V, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2606280078,2026-07-10,C2479130,RNCP0603FTD1R00,SEI(Stackpole Electronics Inc.),125mW 1Ω 150V Thin Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,50,0.0186,0.93,"0603F, 150V, 1Ω, Impedance, Passive, Resistor, SMD, THT"
LCSC,WM2606280078,2026-07-10,C2150516,STSPIN220,ST,"STEP/DIR VFQFPN-16(3x3) Motor Drivers, Controllers RoHS",VFQFPN-16(3x3),10,1.2365,12.37,"Actuator, Motion Control, Motor Driver"
LCSC,WM2606280078,2026-07-10,C19184125,MY-18650-04-J,MYOUNG,Battery Contact/Spring Attachment 18650 Cell TH,-,20,0.1481,2.96,"Battery Management, Charging, Energy, Power, THT"
LCSC,WM2606280078,2026-07-10,C49006243,CH32V005D6U6,WCH,RISC-V2C 32 Bit 48MHz 11 QFN-12(2x2) Microcontrollers RoHS,QFN-12(2x2),30,0.225,6.75,"32V, 48MH, 48MHZ, Brain, Compute, MCU, Microcontroller, Processor"
LCSC,WM2606280078,2026-07-10,C7434833,CH32V208GBU6,WCH,RISC-V 32 Bit 144MHz 21 QFN-28-EP(4x4) Microcontrollers RoHS,QFN-28-EP(4x4),5,1.5398,7.70,"144MH, 144MHZ, 32V, Brain, Compute, MCU, Microcontroller, Processor"
